Media Source,Date,Text,Compound score,Negative,Neutral,Positive,Tweets Ago
CBS,Wed Jul 25 17:25:36 +0000 2018,"This is one allowance that can’t be beat! Kids are winning big this week on @PriceIsRight. 🎉
 https://t.co/lncKu9XvNo",0.5707,0.0,0.813,0.187,2
CBS,Wed Jul 25 15:12:31 +0000 2018,"Renowned artists Cher, Philip Glass, Reba McEntire, Wayne Shorter, and the co-creators of #Hamilton will be recogni… https://t.co/PEjjI9MKE1",0.0,0.0,1.0,0.0,3
CBS,Wed Jul 25 01:05:03 +0000 2018,Who's excited for the return of @MurphyBrownCBS? Here's a behind-the-scenes look at the first table read of the sea… https://t.co/1B5S4WJnCW,0.34,0.0,0.882,0.118,4
CBS,Tue Jul 24 18:54:14 +0000 2018,"Mark your calendars because you won’t want to miss this! Former Secretaries of State @HillaryClinton, @Madeleine, a… https://t.co/JKDPp97OqN",-0.1511,0.099,0.834,0.068,5
CBS,Mon Jul 23 21:30:33 +0000 2018,The cast couldn’t be more excited to welcome @ansonmount into the @startrekcbs family! Who’s ready to see the iconi… https://t.co/fOS4f4VCb2,0.8293,0.0,0.66,0.34,6
CBS,Sun Jul 22 01:56:13 +0000 2018,RT @startrekcbs: Stream the full panel &amp; learn all the exclusive details revealed about season 2 of #StarTrekDiscovery at @Comic_Con: https…,0.128,0.0,0.927,0.073,7
CBS,Sat Jul 21 00:55:28 +0000 2018,RT @MagnumPICBS: Couldn't make it to San Diego for the #MagnumPI panel? Here's everything you missed at #SDCC2018: https://t.co/Z7IBqF1YJ8…,-0.296,0.109,0.891,0.0,8
CBS,Sat Jul 21 00:19:12 +0000 2018,RT @bigbangtheory: The #BigBangTheory writers teased a honeymoon episode and more @YoungSheldon characters in Season 12 while speaking at #…,-0.296,0.109,0.891,0.0,9
CBS,Sat Jul 21 00:10:00 +0000 2018,"RT @TrueCrimeCBS: When you find out you’ve been treated with chemo, but you don’t have cancer. #Whistleblower https://t.co/DAKwu1vcNX",-0.7964,0.264,0.736,0.0,10
CBS,Fri Jul 20 23:44:54 +0000 2018,George blew the whistle on a doctor targeting those who believed they had cancer. What was the outcome? Find out to… https://t.co/rLlNzlK3Cy,-0.6597,0.18,0.82,0.0,11
CBS,Fri Jul 20 22:29:36 +0000 2018,"RT @startrekcbs: Discover the next adventure of Starfleet in this first look at the season 2 premiere, coming early 2019. Season 1 is now s…",0.3182,0.0,0.905,0.095,12
CBS,Fri Jul 20 21:39:09 +0000 2018,Take a trip down memory lane with the cast and crew of @MagnumPICBS at #SDCC2018! https://t.co/jHVxm7kyaT,0.0,0.0,1.0,0.0,13
CBS,Fri Jul 20 15:08:23 +0000 2018,"This @cbsallaccess series is unlike any fairy tale you've ever seen before. @paulwesley, @kevwilliamson &amp;… https://t.co/icsSnPxKAr",0.0,0.0,1.0,0.0,14
CBS,Tue Jul 17 17:55:25 +0000 2018,🤰👩‍👧🚫🍸 #WorldEmojiDay,0.0,0.0,1.0,0.0,15
CBS,Tue Jul 17 17:22:29 +0000 2018,👨📝✔️ #WorldEmojiDay,0.0,0.0,1.0,0.0,16
CBS,Tue Jul 17 17:22:29 +0000 2018,👩‍💼💼🇺🇸 #WorldEmojiDay,0.0,0.0,1.0,0.0,17
CBS,Tue Jul 17 17:22:29 +0000 2018,🕵️🕵️‍♀️ #WorldEmojiDay,0.0,0.0,1.0,0.0,18
CBS,Tue Jul 17 17:22:29 +0000 2018,⚓️🦅🇺🇸 #WorldEmojiDay,0.0,0.0,1.0,0.0,19
CBS,Tue Jul 17 17:22:29 +0000 2018,🏄🌴🚔 #WorldEmojiDay,0.0,0.0,1.0,0.0,20
CBS,Tue Jul 17 17:22:28 +0000 2018,💙👮🍽 #WorldEmojiDay,0.0,0.0,1.0,0.0,21
CBS,Tue Jul 17 17:22:28 +0000 2018,💣📎 #WorldEmojiDay,0.0,0.0,1.0,0.0,22
CBS,Tue Jul 17 17:22:28 +0000 2018,🌎☄️ #WorldEmojiDay,0.0,0.0,1.0,0.0,23
CBS,Tue Jul 17 17:22:28 +0000 2018,🏷💰🎰 #WorldEmojiDay,0.0,0.0,1.0,0.0,24
CBS,Tue Jul 17 17:22:28 +0000 2018,👶😴🚫 #WorldEmojiDay,0.0,0.0,1.0,0.0,25
CBS,Tue Jul 17 17:22:28 +0000 2018,🤝💼💰 #WorldEmojiDay,0.0,0.0,1.0,0.0,26
CBS,Tue Jul 17 17:22:27 +0000 2018,💄👠📷 #WorldEmojiDay,0.0,0.0,1.0,0.0,27
CBS,Tue Jul 17 17:22:27 +0000 2018,🏝🔥💵 #WorldEmojiDay,0.0,0.0,1.0,0.0,28
CBS,Tue Jul 17 17:22:27 +0000 2018,🐮⚖️ #WorldEmojiDay,0.0,0.0,1.0,0.0,29
CBS,Tue Jul 17 17:22:27 +0000 2018,🏠📹📹📹 #WorldEmojiDay,0.0,0.0,1.0,0.0,30
CBS,Tue Jul 17 17:22:27 +0000 2018,👶💥🌎🔬 #WorldEmojiDay,0.0,0.0,1.0,0.0,31
CBS,Tue Jul 17 17:22:26 +0000 2018,💥🌎🔬 #WorldEmojiDay,0.0,0.0,1.0,0.0,32
CBS,Tue Jul 17 17:22:26 +0000 2018,Celebrate #WorldEmojiDay with a fun game! Use the emoji sequences below to guess the CBS show. 👇 Tweet your respons… https://t.co/LCqvuVtkXK,0.807,0.0,0.7,0.3,33
CBS,Fri Jul 13 21:35:01 +0000 2018,"Stand up. Speak up. Blow the whistle. 

Don't miss the premiere of the @TrueCrimeCBS series #Whistleblower tonight… https://t.co/uNhx4Codc2",0.1139,0.0,0.922,0.078,34
CBS,Fri Jul 13 21:15:41 +0000 2018,"RT @TheNeighborhood: There's a new family on the block, and they're about to turn this neighborhood upside down. @CedEntertainer and @Tichi…",-0.4404,0.132,0.868,0.0,35
CBS,Fri Jul 13 17:49:38 +0000 2018,Take a walk down @YandR_CBS memory lane with stars @JessWaltonYR and Peter Bergman! You can watch full episodes of… https://t.co/MZEUfiJJyb,0.0,0.0,1.0,0.0,36
CBS,Thu Jul 12 01:01:24 +0000 2018,RT @TKOCBS: Prepare to have some major FUN. #TKO starts NOW! https://t.co/i2ftL6GCj5,0.6514,0.0,0.718,0.282,37
CBS,Wed Jul 11 21:44:45 +0000 2018,"It’s fun, different, unique, and finally here! @TKOCBS hosted by @KevinHart4real premieres at 9/8c on CBS and… https://t.co/MCeVLVK85i",0.5562,0.0,0.826,0.174,38
CBS,Wed Jul 11 19:09:34 +0000 2018,"RT @MagnumPICBS: Talk about hands-on research! #MagnumPI's cast had the honor of joining the US Navy Submarine Force, US Pacific Fleet #Sub…",0.5411,0.0,0.857,0.143,39
CBS,Mon Jul 09 23:55:07 +0000 2018,Time to mark your calendars! CBS' fall 2018 premiere lineup has been announced: https://t.co/yYv3H9aEO7 https://t.co/lRxAA7suie,0.0,0.0,1.0,0.0,40
CBS,Mon Jul 09 18:53:34 +0000 2018,"RT @TKOCBS: The Ball Buster, the Frisboom, the Spike Launcher, and the Slammer… Get to know all of the #TKO Battle Stations: https://t.co/2…",-0.3818,0.106,0.894,0.0,41
CBS,Mon Jul 09 18:09:00 +0000 2018,"RT @cbsallaccess: How much does it cost to bury the truth? #OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/2HdY…",0.3182,0.0,0.897,0.103,42
